piece_a,piece_b,makam,usul,feature_diff
hicazkar--sazsemaisi--aksaksemai----tanburi_cemil_bey,hicazkar--turku--tekvurus--gul_kuruttum--hatay,hicazkar,aksaksemai,-0.4953635555259217
hisar--sazsemaisi--aksaksemai----kemani_ali_aga,cargah--turku--sofyan--harman_da_yeri--afyon,hisar,aksaksemai,0.1618634489725621
hisarbuselik--sazsemaisi--aksaksemai----tanburi_buyuk_osman_bey,hisarbuselik--turku--azeriyuruksemai--diliyrem_ki--sinan_sipahi,hisarbuselik,aksaksemai,0.32180746920691905
huseyni--sazsemaisi--aksaksemai----iii_selim,huseyni--turku--14_4--tutam_yar--erzurum,huseyni,aksaksemai,0.10129029219928265
huseyni--sazsemaisi--aksaksemai----lavtaci_andon,huseyni--turku--aksak--a_fadimem--,huseyni,aksaksemai,0.5634968013932311
huseyni--sazsemaisi--aksaksemai----neyzen_rasid_efendi,huseyni--turku--aksak--bursanin_ufak--bursa,huseyni,aksaksemai,0.5392371004950003
huseyni--sazsemaisi--aksaksemai----tatyos_efendi,huseyni--turku--aksak--demirciler_demir--_anonim_,huseyni,aksaksemai,0.08154664626925823
huzzam--sazsemaisi--aksaksemai----gazi_giray_han,huzzam--turku--aksak--arabaya_tas--istanbul,huzzam,aksaksemai,0.6698636667988631
huzzam--sazsemaisi--aksaksemai----refik_fersan,huzzam--turku--aksak--bilirim_daha--bimen_sen,huzzam,aksaksemai,0.6989938809168075
huzzam--sazsemaisi--aksaksemai----udi_nevres_bey,huzzam--turku--aksak--duriyemin_gugumleri--,huzzam,aksaksemai,0.19623622312290356
irak--sazsemaisi--aksaksemai----serif_muhittin_targan,hicaz_uzzal--turku--sofyan--ela_gozlerine--sadettin_kaynak,irak,aksaksemai,0.4610887929956865
isfahan--sazsemaisi--aksaksemai----tanburi_cemil_bey,isfahan--turku--aksak--feslegen_ektim--tanburi_mustafa_cavus,isfahan,aksaksemai,-0.17165915347744143
karcigar--sazsemaisi--aksaksemai----ahmet_mukerrem_akinci,karcigar--turku--aksak--cayira_serdim--,karcigar,aksaksemai,0.6632074744181473
karcigar--sazsemaisi--aksaksemai----kanuni_omer_efendi,karcigar--turku--duyek--bagi_bagimca--urfa,karcigar,aksaksemai,0.22645382093184696
